id,character,input_lufs,gain_db,output_lufs,output_dbtp,deviation_db
kohaku_001,コハク,-15.31,-0.69,-16.55,-2.14,-0.55
kohaku_002,コハク,-15.42,-0.58,-16.53,-2.21,-0.53
kohaku_003,コハク,-17.49,+1.49,-16.84,-2.18,-0.84
kohaku_004,コハク,-16.22,+0.22,-16.50,-2.18,-0.50
kohaku_005,コハク,-17.41,+1.41,-17.01,-2.00,-1.01
kohaku_006,コハク,-16.95,+0.95,-17.01,-2.24,-1.01
kohaku_007,コハク,-16.40,+0.40,-16.83,-1.57,-0.83
kohaku_008,コハク,-16.68,+0.68,-16.47,-0.71,-0.47
kohaku_009,コハク,-19.35,+3.35,-16.88,-2.18,-0.88
kohaku_010,コハク,-17.64,+1.64,-16.99,-1.85,-0.99
kohaku_011,コハク,-16.17,+0.17,-16.60,-2.20,-0.60
kohaku_012,コハク,-14.89,-1.11,-16.48,-2.35,-0.48
kohaku_013,コハク,-17.45,+1.45,-16.84,-2.42,-0.84
kohaku_014,コハク,-16.93,+0.93,-17.31,-2.12,-1.31
kohaku_015,コハク,-14.94,-1.06,-16.53,-2.27,-0.53
kohaku_016,コハク,-17.00,+1.00,-16.76,-2.25,-0.76
kohaku_017,コハク,-14.26,-1.74,-16.44,-2.34,-0.44
kohaku_018,コハク,-14.64,-1.36,-16.49,-2.11,-0.49
kohaku_019,コハク,-15.77,-0.23,-16.58,-2.22,-0.58
kohaku_020,コハク,-14.94,-1.06,-16.55,-2.31,-0.55
kohaku_021,コハク,-15.12,-0.88,-16.49,-2.11,-0.49
kohaku_022,コハク,-15.91,-0.09,-16.70,-2.16,-0.70
kohaku_023,コハク,-12.65,-3.35,-16.36,-3.62,-0.36
kohaku_024,コハク,-13.78,-2.22,-16.37,-2.57,-0.37
kohaku_025,コハク,-15.88,-0.12,-16.57,-2.14,-0.57
kohaku_026,コハク,-16.34,+0.34,-16.84,-2.01,-0.84
kohaku_027,コハク,-15.91,-0.09,-16.60,-1.93,-0.60
kohaku_028,コハク,-16.96,+0.96,-16.82,-2.23,-0.82
kohaku_029,コハク,-16.84,+0.84,-16.71,-1.99,-0.71
kohaku_030,コハク,-14.58,-1.42,-16.46,-2.19,-0.46
kohaku_031,コハク,-16.88,+0.88,-16.68,-2.20,-0.68
kohaku_032,コハク,-17.76,+1.76,-16.90,-2.39,-0.90
kohaku_033,コハク,-15.68,-0.32,-16.58,-2.20,-0.58
kohaku_034,コハク,-16.58,+0.58,-16.55,-2.09,-0.55
kohaku_035,コハク,-16.52,+0.52,-16.62,-2.19,-0.62
kohaku_036,コハク,-14.26,-1.74,-16.39,-2.19,-0.39
kohaku_037,コハク,-14.65,-1.35,-16.67,-2.34,-0.67
kohaku_038,コハク,-14.56,-1.44,-16.45,-2.39,-0.45
kohaku_039,コハク,-14.79,-1.21,-16.50,-2.18,-0.50
kohaku_040,コハク,-15.97,-0.03,-16.59,-2.29,-0.59
kohaku_041,コハク,-16.71,+0.71,-17.06,-0.49,-1.06
kohaku_042,コハク,-15.74,-0.26,-16.51,-2.33,-0.51
kohaku_043,コハク,-17.64,+1.64,-17.01,-2.13,-1.01
kohaku_044,コハク,-14.07,-1.93,-16.56,-2.34,-0.56
kohaku_045,コハク,-14.91,-1.09,-16.48,-2.15,-0.48
kohaku_046,コハク,-15.72,-0.28,-16.60,-2.26,-0.60
kohaku_047,コハク,-16.09,+0.09,-16.64,-1.79,-0.64
kohaku_048,コハク,-14.56,-1.44,-16.42,-2.07,-0.42
kohaku_049,コハク,-15.76,-0.24,-16.60,-1.96,-0.60
kohaku_050,コハク,-17.90,+1.90,-16.86,-2.10,-0.86
kohaku_051,コハク,-17.65,+1.65,-17.30,-2.01,-1.30
kohaku_052,コハク,-17.00,+1.00,-16.77,-1.74,-0.77
kohaku_053,コハク,-16.43,+0.43,-16.65,-2.06,-0.65
kohaku_054,コハク,-16.94,+0.94,-16.87,-1.88,-0.87
kohaku_055,コハク,-15.98,-0.02,-16.64,-2.20,-0.64
kohaku_056,コハク,-17.90,+1.90,-16.96,0.11,-0.96
kohaku_057,コハク,-16.82,+0.82,-16.86,-2.19,-0.86
kohaku_058,コハク,-17.51,+1.51,-16.73,-2.13,-0.73
kohaku_059,コハク,-15.65,-0.35,-16.53,-2.03,-0.53
kohaku_060,コハク,-15.57,-0.43,-16.64,-2.17,-0.64
kohaku_061,コハク,-15.45,-0.55,-16.56,-2.35,-0.56
kohaku_062,コハク,-13.58,-2.42,-16.38,-2.93,-0.38
kohaku_063,コハク,-14.87,-1.13,-16.49,-1.63,-0.49
kohaku_064,コハク,-13.39,-2.61,-16.34,-2.66,-0.34
kohaku_065,コハク,-17.84,+1.84,-17.10,-2.14,-1.10
kohaku_066,コハク,-15.62,-0.38,-16.72,-2.25,-0.72
kohaku_067,コハク,-14.87,-1.13,-16.55,-1.92,-0.55
kohaku_068,コハク,-12.97,-3.03,-16.42,-3.29,-0.42
kohaku_069,コハク,-13.59,-2.41,-16.41,-2.77,-0.41
kohaku_070,コハク,-15.28,-0.72,-16.49,-2.38,-0.49
kohaku_071,コハク,-16.31,+0.31,-16.75,-2.34,-0.75
kohaku_072,コハク,-17.04,+1.04,-17.46,-2.24,-1.46
kohaku_073,コハク,-13.85,-2.15,-16.38,-2.36,-0.38
kohaku_074,コハク,-14.73,-1.27,-16.47,-2.49,-0.47
kohaku_075,コハク,-14.25,-1.75,-16.40,-2.36,-0.40
kohaku_076,コハク,-13.93,-2.07,-16.35,-2.08,-0.35
kohaku_077,コハク,-14.06,-1.94,-16.32,-1.51,-0.32
kohaku_078,コハク,-15.23,-0.77,-16.56,-2.24,-0.56
kohaku_079,コハク,-12.57,-3.43,-16.36,-3.21,-0.36
kohaku_080,コハク,-14.72,-1.28,-16.56,-2.36,-0.56
kohaku_081,コハク,-14.03,-1.97,-16.39,-1.80,-0.39
kohaku_082,コハク,-13.26,-2.74,-16.41,-3.29,-0.41
kohaku_083,コハク,-14.04,-1.96,-16.39,-2.59,-0.39
kohaku_084,コハク,-14.83,-1.17,-16.45,-2.29,-0.45
kohaku_085,コハク,-14.36,-1.64,-16.40,-2.21,-0.40
kohaku_086,コハク,-16.78,+0.78,-16.74,-2.14,-0.74
kohaku_087,コハク,-15.31,-0.69,-16.63,-0.87,-0.63
kohaku_088,コハク,-14.39,-1.61,-16.44,-2.27,-0.44
kohaku_089,コハク,-14.56,-1.44,-16.52,-1.81,-0.52
kohaku_090,コハク,-15.60,-0.40,-16.60,-2.00,-0.60
kohaku_091,コハク,-16.32,+0.32,-16.85,-2.17,-0.85
kohaku_092,コハク,-14.09,-1.91,-16.43,-2.14,-0.43
kohaku_093,コハク,-15.74,-0.26,-16.63,-2.09,-0.63
kohaku_094,コハク,-17.52,+1.52,-16.96,-2.20,-0.96
kohaku_095,コハク,-13.56,-2.44,-16.53,-3.01,-0.53
kohaku_096,コハク,-17.95,+1.95,-16.69,-0.27,-0.69
kohaku_097,コハク,-14.74,-1.26,-16.51,-2.44,-0.51
kohaku_098,コハク,-16.85,+0.85,-16.83,-0.85,-0.83
kohaku_099,コハク,-14.66,-1.34,-16.49,-2.02,-0.49
kohaku_100,コハク,-14.98,-1.02,-16.48,-2.09,-0.48
mao_001,まお,-17.09,+1.09,-16.89,-2.29,-0.89
mao_002,まお,-16.44,+0.44,-17.03,-1.92,-1.03
mao_003,まお,-17.16,+1.16,-16.78,-2.09,-0.78
mao_004,まお,-15.72,-0.28,-16.59,-2.16,-0.59
mao_005,まお,-16.07,+0.07,-16.66,-1.91,-0.66
mao_006,まお,-19.05,+3.05,-17.32,-2.02,-1.32
mao_007,まお,-16.51,+0.51,-16.75,-2.20,-0.75
mao_008,まお,-18.76,+2.76,-17.04,-2.13,-1.04
mao_009,まお,-15.38,-0.62,-16.56,-1.91,-0.56
mao_010,まお,-18.86,+2.86,-16.81,-1.95,-0.81
mao_011,まお,-16.90,+0.90,-16.80,-1.96,-0.80
mao_012,まお,-14.72,-1.28,-16.49,-2.22,-0.49
mao_013,まお,-16.99,+0.99,-16.74,-2.02,-0.74
mao_014,まお,-15.02,-0.98,-16.50,-2.38,-0.50
mao_015,まお,-15.51,-0.49,-16.40,-2.01,-0.40
mao_016,まお,-15.48,-0.52,-16.57,-2.22,-0.57
mao_017,まお,-16.80,+0.80,-16.87,-2.02,-0.87
mao_018,まお,-19.54,+3.54,-17.92,-2.25,-1.92
mao_019,まお,-18.64,+2.64,-18.02,-2.21,-2.02
mao_020,まお,-15.99,-0.01,-16.54,-2.29,-0.54
mao_021,まお,-15.61,-0.39,-16.77,-2.12,-0.77
mao_022,まお,-14.18,-1.82,-16.43,-2.52,-0.43
mao_023,まお,-20.86,+4.86,-17.19,-2.04,-1.19
mao_024,まお,-17.68,+1.68,-16.75,-2.23,-0.75
mao_025,まお,-16.48,+0.48,-16.82,-2.31,-0.82
mao_026,まお,-16.09,+0.09,-16.55,-2.01,-0.55
mao_027,まお,-15.55,-0.45,-16.56,-2.29,-0.56
mao_028,まお,-14.83,-1.17,-16.48,-2.26,-0.48
mao_029,まお,-17.08,+1.08,-16.79,-2.07,-0.79
mao_030,まお,-15.52,-0.48,-16.60,-2.29,-0.60
mao_031,まお,-16.91,+0.91,-17.24,-2.27,-1.24
mao_032,まお,-17.46,+1.46,-17.59,-2.26,-1.59
mao_033,まお,-15.23,-0.77,-16.55,-2.25,-0.55
mao_034,まお,-15.93,-0.07,-16.65,-2.28,-0.65
mao_035,まお,-15.88,-0.12,-16.68,-2.25,-0.68
mao_036,まお,-14.42,-1.58,-16.46,-1.95,-0.46
mao_037,まお,-15.73,-0.27,-17.06,-2.12,-1.06
mao_038,まお,-19.70,+3.70,-17.57,-2.11,-1.57
mao_039,まお,-16.79,+0.79,-16.68,-1.89,-0.68
mao_040,まお,-16.45,+0.45,-16.75,-2.09,-0.75
mao_041,まお,-14.55,-1.45,-16.29,-2.35,-0.29
mao_042,まお,-15.11,-0.89,-16.61,-2.28,-0.61
mao_043,まお,-15.32,-0.68,-16.56,-1.87,-0.56
mao_044,まお,-16.26,+0.26,-16.86,-2.32,-0.86
mao_045,まお,-16.05,+0.05,-16.85,-2.10,-0.85
mao_046,まお,-16.28,+0.28,-16.78,-2.06,-0.78
mao_047,まお,-14.04,-1.96,-16.39,-2.29,-0.39
mao_048,まお,-16.34,+0.34,-16.67,-2.18,-0.67
mao_049,まお,-15.52,-0.48,-16.77,-1.74,-0.77
mao_050,まお,-16.57,+0.57,-16.82,-2.33,-0.82
mao_051,まお,-14.78,-1.22,-16.44,-1.86,-0.44
mao_052,まお,-17.35,+1.35,-16.84,-2.22,-0.84
mao_053,まお,-16.03,+0.03,-16.51,-2.13,-0.51
mao_054,まお,-14.25,-1.75,-16.65,-2.35,-0.65
