id,character,source_lufs,v10_lufs,v11_lufs,v11_dbtp,gain_vs_v10_db
kohaku_001,コハク,-15.31,-16.55,-12.55,-0.72,+4.00
kohaku_002,コハク,-15.42,-16.53,-12.26,-1.38,+4.27
kohaku_003,コハク,-17.49,-16.84,-13.23,-2.03,+3.61
kohaku_004,コハク,-16.22,-16.50,-12.05,-0.65,+4.45
kohaku_005,コハク,-17.41,-17.01,-13.15,-2.27,+3.86
kohaku_006,コハク,-16.95,-17.01,-12.58,-0.68,+4.43
kohaku_007,コハク,-16.40,-16.83,-12.34,-0.91,+4.49
kohaku_008,コハク,-16.68,-16.47,-12.84,-0.76,+3.63
kohaku_009,コハク,-19.35,-16.88,-13.05,-2.29,+3.83
kohaku_010,コハク,-17.64,-16.99,-12.89,-1.93,+4.10
kohaku_011,コハク,-16.17,-16.60,-13.03,-1.78,+3.57
kohaku_012,コハク,-14.89,-16.48,-12.35,-1.17,+4.13
kohaku_013,コハク,-17.45,-16.84,-12.26,-1.58,+4.58
kohaku_014,コハク,-16.93,-17.31,-12.40,-0.60,+4.91
kohaku_015,コハク,-14.94,-16.53,-12.24,-2.84,+4.29
kohaku_016,コハク,-17.00,-16.76,-12.49,-1.17,+4.27
kohaku_017,コハク,-14.26,-16.44,-12.31,-2.44,+4.13
kohaku_018,コハク,-14.64,-16.49,-12.71,-2.66,+3.78
kohaku_019,コハク,-15.77,-16.58,-12.52,-2.84,+4.06
kohaku_020,コハク,-14.94,-16.55,-12.49,-2.89,+4.06
kohaku_021,コハク,-15.12,-16.49,-12.52,-2.81,+3.97
kohaku_022,コハク,-15.91,-16.70,-12.63,-1.17,+4.07
kohaku_023,コハク,-12.65,-16.36,-12.48,-1.74,+3.88
kohaku_024,コハク,-13.78,-16.37,-11.99,-0.97,+4.38
kohaku_025,コハク,-15.88,-16.57,-12.91,-1.21,+3.66
kohaku_026,コハク,-16.34,-16.84,-12.79,-2.84,+4.05
kohaku_027,コハク,-15.91,-16.60,-13.03,-1.37,+3.57
kohaku_028,コハク,-16.96,-16.82,-12.56,-1.71,+4.26
kohaku_029,コハク,-16.84,-16.71,-13.14,-1.99,+3.57
kohaku_030,コハク,-14.58,-16.46,-13.65,-1.15,+2.81
kohaku_031,コハク,-16.88,-16.68,-12.62,-0.79,+4.06
kohaku_032,コハク,-17.76,-16.90,-12.27,-0.70,+4.63
kohaku_033,コハク,-15.68,-16.58,-12.30,-1.77,+4.28
kohaku_034,コハク,-16.58,-16.55,-12.44,-0.87,+4.11
kohaku_035,コハク,-16.52,-16.62,-12.12,-1.61,+4.50
kohaku_036,コハク,-14.26,-16.39,-12.58,-1.85,+3.81
kohaku_037,コハク,-14.65,-16.67,-12.69,-1.39,+3.98
kohaku_038,コハク,-14.56,-16.45,-12.27,-1.36,+4.18
kohaku_039,コハク,-14.79,-16.50,-12.16,-0.85,+4.34
kohaku_040,コハク,-15.97,-16.59,-12.77,-1.54,+3.82
kohaku_041,コハク,-16.71,-17.06,-13.16,-1.32,+3.90
kohaku_042,コハク,-15.74,-16.51,-12.48,-1.93,+4.03
kohaku_043,コハク,-17.64,-17.01,-12.55,-1.31,+4.46
kohaku_044,コハク,-14.07,-16.56,-12.22,-1.16,+4.34
kohaku_045,コハク,-14.91,-16.48,-12.30,-0.82,+4.18
kohaku_046,コハク,-15.72,-16.60,-12.74,-1.52,+3.86
kohaku_047,コハク,-16.09,-16.64,-12.45,-0.80,+4.19
kohaku_048,コハク,-14.56,-16.42,-12.08,-1.30,+4.34
kohaku_049,コハク,-15.76,-16.60,-12.65,-1.51,+3.95
kohaku_050,コハク,-17.90,-16.86,-13.25,-1.08,+3.61
kohaku_051,コハク,-17.65,-17.30,-12.61,-2.35,+4.69
kohaku_052,コハク,-17.00,-16.77,-12.37,-1.43,+4.40
kohaku_053,コハク,-16.43,-16.65,-12.27,-1.45,+4.38
kohaku_054,コハク,-16.94,-16.87,-12.99,-1.84,+3.88
kohaku_055,コハク,-15.98,-16.64,-12.58,-2.36,+4.06
kohaku_056,コハク,-17.90,-16.96,-12.62,-1.35,+4.34
kohaku_057,コハク,-16.82,-16.86,-12.49,-1.25,+4.37
kohaku_058,コハク,-17.51,-16.73,-13.15,-1.32,+3.58
kohaku_059,コハク,-15.65,-16.53,-12.40,-2.07,+4.13
kohaku_060,コハク,-15.57,-16.64,-12.81,-2.50,+3.83
kohaku_061,コハク,-15.45,-16.56,-12.55,-1.67,+4.01
kohaku_062,コハク,-13.58,-16.38,-12.08,-1.41,+4.30
kohaku_063,コハク,-14.87,-16.49,-12.38,-2.09,+4.11
kohaku_064,コハク,-13.39,-16.34,-12.20,-0.56,+4.14
kohaku_065,コハク,-17.84,-17.10,-12.22,-0.68,+4.88
kohaku_066,コハク,-15.62,-16.72,-12.67,-0.68,+4.05
kohaku_067,コハク,-14.87,-16.55,-12.48,-1.10,+4.07
kohaku_068,コハク,-12.97,-16.42,-12.15,-1.26,+4.27
kohaku_069,コハク,-13.59,-16.41,-12.87,-1.99,+3.54
kohaku_070,コハク,-15.28,-16.49,-12.11,-1.56,+4.38
kohaku_071,コハク,-16.31,-16.75,-12.23,-1.42,+4.52
kohaku_072,コハク,-17.04,-17.46,-12.28,-1.44,+5.18
kohaku_073,コハク,-13.85,-16.38,-12.00,-0.51,+4.38
kohaku_074,コハク,-14.73,-16.47,-12.35,-1.45,+4.12
kohaku_075,コハク,-14.25,-16.40,-12.31,-0.97,+4.09
kohaku_076,コハク,-13.93,-16.35,-12.57,-1.71,+3.78
kohaku_077,コハク,-14.06,-16.32,-13.26,-1.01,+3.06
kohaku_078,コハク,-15.23,-16.56,-12.47,-1.70,+4.09
kohaku_079,コハク,-12.57,-16.36,-12.03,-1.31,+4.33
kohaku_080,コハク,-14.72,-16.56,-12.86,-1.26,+3.70
kohaku_081,コハク,-14.03,-16.39,-12.27,-1.67,+4.12
kohaku_082,コハク,-13.26,-16.41,-12.92,-1.10,+3.49
kohaku_083,コハク,-14.04,-16.39,-12.66,-0.76,+3.73
kohaku_084,コハク,-14.83,-16.45,-12.54,-0.59,+3.91
kohaku_085,コハク,-14.36,-16.40,-13.07,-0.81,+3.33
kohaku_086,コハク,-16.78,-16.74,-12.16,-0.65,+4.58
kohaku_087,コハク,-15.31,-16.63,-12.46,-0.60,+4.17
kohaku_088,コハク,-14.39,-16.44,-12.49,-1.31,+3.95
kohaku_089,コハク,-14.56,-16.52,-12.44,-2.88,+4.08
kohaku_090,コハク,-15.60,-16.60,-12.27,-1.30,+4.33
kohaku_091,コハク,-16.32,-16.85,-12.33,-2.83,+4.52
kohaku_092,コハク,-14.09,-16.43,-12.53,-2.95,+3.90
kohaku_093,コハク,-15.74,-16.63,-13.13,-1.55,+3.50
kohaku_094,コハク,-17.52,-16.96,-14.36,-2.33,+2.60
kohaku_095,コハク,-13.56,-16.53,-12.14,-1.14,+4.39
kohaku_096,コハク,-17.95,-16.69,-12.93,-1.87,+3.76
kohaku_097,コハク,-14.74,-16.51,-11.94,-1.34,+4.57
kohaku_098,コハク,-16.85,-16.83,-12.63,-1.10,+4.20
kohaku_099,コハク,-14.66,-16.49,-12.50,-0.84,+3.99
kohaku_100,コハク,-14.98,-16.48,-12.88,-2.12,+3.60
mao_001,まお,-17.09,-16.89,-13.14,-1.53,+3.75
mao_002,まお,-16.44,-17.03,-12.87,-1.72,+4.16
mao_003,まお,-17.16,-16.78,-12.99,-0.99,+3.79
mao_004,まお,-15.72,-16.59,-12.19,-2.05,+4.40
mao_005,まお,-16.07,-16.66,-12.57,-1.19,+4.09
mao_006,まお,-19.05,-17.32,-12.34,-1.15,+4.98
mao_007,まお,-16.51,-16.75,-12.41,-1.61,+4.34
mao_008,まお,-18.76,-17.04,-12.91,-2.25,+4.13
mao_009,まお,-15.38,-16.56,-12.18,-2.69,+4.38
mao_010,まお,-18.86,-16.81,-12.62,-1.57,+4.19
mao_011,まお,-16.90,-16.80,-12.61,-2.26,+4.19
mao_012,まお,-14.72,-16.49,-13.15,-2.64,+3.34
mao_013,まお,-16.99,-16.74,-12.91,-2.31,+3.83
mao_014,まお,-15.02,-16.50,-12.17,-2.02,+4.33
mao_015,まお,-15.51,-16.40,-12.57,-2.21,+3.83
mao_016,まお,-15.48,-16.57,-12.38,-2.20,+4.19
mao_017,まお,-16.80,-16.87,-12.48,-1.47,+4.39
mao_018,まお,-19.54,-17.92,-12.71,-1.32,+5.21
mao_019,まお,-18.64,-18.02,-12.86,-1.62,+5.16
mao_020,まお,-15.99,-16.54,-12.47,-1.20,+4.07
mao_021,まお,-15.61,-16.77,-12.39,-1.77,+4.38
mao_022,まお,-14.18,-16.43,-12.35,-1.81,+4.08
mao_023,まお,-20.86,-17.19,-12.50,-2.55,+4.69
mao_024,まお,-17.68,-16.75,-12.71,-2.17,+4.04
mao_025,まお,-16.48,-16.82,-12.44,-0.76,+4.38
mao_026,まお,-16.09,-16.55,-12.47,-2.76,+4.08
mao_027,まお,-15.55,-16.56,-13.56,-2.29,+3.00
mao_028,まお,-14.83,-16.48,-12.72,-1.76,+3.76
mao_029,まお,-17.08,-16.79,-12.24,-1.35,+4.55
mao_030,まお,-15.52,-16.60,-12.47,-1.82,+4.13
mao_031,まお,-16.91,-17.24,-12.43,-2.14,+4.81
mao_032,まお,-17.46,-17.59,-12.43,-2.21,+5.16
mao_033,まお,-15.23,-16.55,-12.43,-1.11,+4.12
mao_034,まお,-15.93,-16.65,-12.65,-1.37,+4.00
mao_035,まお,-15.88,-16.68,-13.24,-2.04,+3.44
mao_036,まお,-14.42,-16.46,-12.53,-0.76,+3.93
mao_037,まお,-15.73,-17.06,-12.82,-2.79,+4.24
mao_038,まお,-19.70,-17.57,-13.40,-2.97,+4.17
mao_039,まお,-16.79,-16.68,-12.81,-1.87,+3.87
mao_040,まお,-16.45,-16.75,-12.48,-1.40,+4.27
mao_041,まお,-14.55,-16.29,-12.76,-1.55,+3.53
mao_042,まお,-15.11,-16.61,-12.41,-1.62,+4.20
mao_043,まお,-15.32,-16.56,-12.57,-2.34,+3.99
mao_044,まお,-16.26,-16.86,-12.38,-1.04,+4.48
mao_045,まお,-16.05,-16.85,-12.72,-2.66,+4.13
mao_046,まお,-16.28,-16.78,-12.56,-1.77,+4.22
mao_047,まお,-14.04,-16.39,-12.24,-1.21,+4.15
mao_048,まお,-16.34,-16.67,-13.21,-2.24,+3.46
mao_049,まお,-15.52,-16.77,-12.69,-2.45,+4.08
mao_050,まお,-16.57,-16.82,-12.53,-2.73,+4.29
mao_051,まお,-14.78,-16.44,-12.82,-1.84,+3.62
mao_052,まお,-17.35,-16.84,-12.54,-2.74,+4.30
mao_053,まお,-16.03,-16.51,-12.58,-0.95,+3.93
mao_054,まお,-14.25,-16.65,-12.79,-2.61,+3.86
mao_055,まお,-14.64,-16.50,-12.53,-2.91,+3.97
mao_056,まお,-16.11,-16.60,-12.28,-1.62,+4.32
mao_057,まお,-18.05,-17.01,-13.25,-0.73,+3.76
mao_058,まお,-17.58,-17.17,-12.34,-1.70,+4.83
mao_059,まお,-16.66,-16.90,-12.42,-1.33,+4.48
mao_060,まお,-14.64,-16.49,-12.12,-1.61,+4.37
mao_061,まお,-16.43,-16.92,-12.65,-1.43,+4.27
mao_062,まお,-15.42,-16.71,-12.24,-2.02,+4.47
mao_063,まお,-14.60,-16.52,-12.82,-2.64,+3.70
mao_064,まお,-17.46,-17.19,-12.73,-1.38,+4.46
mao_065,まお,-16.83,-16.59,-13.04,-1.34,+3.55
mao_066,まお,-15.29,-16.51,-12.81,-2.50,+3.70
mao_067,まお,-16.26,-16.79,-12.56,-2.78,+4.23
